model,var,layer,kind,value
inceptionresnetv2,0,block1,average,0.392614400446
inceptionresnetv2,0,block1,100ms,0.421877767851
inceptionresnetv2,0,block1,200ms,0.298698861207
inceptionresnetv2,0,block2,average,0.332624347758
inceptionresnetv2,0,block2,100ms,0.336214527442
inceptionresnetv2,0,block2,200ms,0.2166252997
inceptionresnetv2,0,block3,average,0.45297414039
inceptionresnetv2,0,block3,100ms,0.488506796945
inceptionresnetv2,0,block3,200ms,0.329689408058
inceptionresnetv2,0,block4,average,0.463717808448
inceptionresnetv2,0,block4,100ms,0.457207669715
inceptionresnetv2,0,block4,200ms,0.389323409594
inceptionresnetv2,0,block5,average,0.375246503581
inceptionresnetv2,0,block5,100ms,0.359005150757
inceptionresnetv2,0,block5,200ms,0.281835051429
inceptionresnetv2,0,block6,average,0.345467730826
inceptionresnetv2,0,block6,100ms,0.34035982517
inceptionresnetv2,0,block6,200ms,0.256200454891
inceptionresnetv2,3,block1,average,0.273595733395
inceptionresnetv2,3,block1,100ms,0.286020447983
inceptionresnetv2,3,block1,200ms,0.189600385845
inceptionresnetv2,3,block2,average,0.234770128028
inceptionresnetv2,3,block2,100ms,0.240348953883
inceptionresnetv2,3,block2,200ms,0.183133799842
inceptionresnetv2,3,block3,average,0.440540256379
inceptionresnetv2,3,block3,100ms,0.413055624185
inceptionresnetv2,3,block3,200ms,0.275242054197
inceptionresnetv2,3,block4,average,0.474311904657
inceptionresnetv2,3,block4,100ms,0.415691809818
inceptionresnetv2,3,block4,200ms,0.349073966663
inceptionresnetv2,3,block5,average,0.360515101809
inceptionresnetv2,3,block5,100ms,0.30961064513
inceptionresnetv2,3,block5,200ms,0.265085549867
inceptionresnetv2,3,block6,average,0.242630443076
inceptionresnetv2,3,block6,100ms,0.220421460536
inceptionresnetv2,3,block6,200ms,0.199093998389
inceptionresnetv2,6,block1,average,0.282125837082
inceptionresnetv2,6,block1,100ms,0.284851407574
inceptionresnetv2,6,block1,200ms,0.176303172143
inceptionresnetv2,6,block2,average,0.26922285138
inceptionresnetv2,6,block2,100ms,0.265657357712
inceptionresnetv2,6,block2,200ms,0.186033721528
inceptionresnetv2,6,block3,average,0.393774798803
inceptionresnetv2,6,block3,100ms,0.391022477675
inceptionresnetv2,6,block3,200ms,0.268321937976
inceptionresnetv2,6,block4,average,0.465101091021
inceptionresnetv2,6,block4,100ms,0.415201907837
inceptionresnetv2,6,block4,200ms,0.367316658397
inceptionresnetv2,6,block5,average,0.335629178809
inceptionresnetv2,6,block5,100ms,0.278442983165
inceptionresnetv2,6,block5,200ms,0.274536059945
inceptionresnetv2,6,block6,average,0.223041437471
inceptionresnetv2,6,block6,100ms,0.204640728645
inceptionresnetv2,6,block6,200ms,0.205007258875
