model,trained_variance,untrained_variance,kind
alexnet,0.467711091259,0.276809354791,average
alexnet,0.473929596048,0.321116840056,100ms
alexnet,0.303589928512,0.150057247345,200ms
mobilenet,0.480269769264,0.201900755501,average
mobilenet,0.418791035243,0.241409555087,100ms
mobilenet,0.353109997357,0.115363585245,200ms
vgg16,0.437744514219,0.262432923854,average
vgg16,0.426578327415,0.30659597972,100ms
vgg16,0.318376885427,0.15277535694,200ms
resnet50,0.482356954028,0.193277842607,average
resnet50,0.451920504926,0.228275882675,100ms
resnet50,0.361411317711,0.110666261911,200ms
xception,0.438902408037,0.134106473268,average
xception,0.42383697679,0.166263499185,100ms
xception,0.338618061567,0.0635795123128,200ms
